time,fx,fy,fz,tx,ty,tz
1754940287.5360036,2.503189495961511e-11,0.9799999999999998,-4.01171457165006e-12,0.0735000000000004,-1.8773913562533593e-12,5.3967247337638455e-17
1754940287.54117,2.5031216682736002e-11,0.9800000000000002,-4.011627835476261e-12,0.07350000000000043,-1.8773346457034748e-12,5.331672603414718e-17
1754940287.5465107,2.4996426803425287e-11,0.9799999999999992,-4.052931601439269e-12,0.0735000000000004,-1.8747392622141882e-12,5.461776864112973e-17
1754940287.5513546,2.495100480393031e-11,0.9800000000000005,-4.104161455131816e-12,0.07350000000000044,-1.8713288941162397e-12,5.44009282066327e-17
1754940287.5561047,56.26524607618862,0.980000000492379,-6.804532462286161,0.0735000000449759,-4.970096736715521,-6.751199252419132e-13
1754940287.561297,55.84276400839219,0.9800000012716574,-34.19062882147034,0.07350000011389402,-4.932777487396282,4.914761930763304e-12
1754940287.5663657,55.416446372063795,0.9800000007539555,-82.114651549932,0.07350000007455959,-4.895119429029995,2.339254373540105e-11
1754940287.5714197,54.99886043766755,0.9799999961430554,-150.0967783698304,0.07349999968763665,-4.858232671789664,-1.8033641246974963e-12
1754940287.5763557,54.5502685995101,2.194672065367694,-236.89293536574888,0.17095030862512683,-4.825295974231063,0.004123119969394306
1754940287.5817368,54.19948441144811,2.7107295365483353,-334.4894772682382,0.2113489342833258,-4.7908116117395885,0.13256833153679853
1754940287.5863774,55.041858057009215,-21.759693914898456,-446.3377835321522,-1.6738386578983548,-4.751054234198734,0.034856152243742625
1754940287.5914166,54.133492692815736,-1.9298156590978977,-523.1755949953431,-0.1634632815568024,-4.74307465775494,0.23142458980015093
1754940287.5965438,57.869723240752705,14.994835747817937,-621.3724684602612,1.1405090962845699,-4.700152376491662,-0.14069792682626542
1754940287.6016095,64.67160357824912,7.683826958925842,-669.3248097380122,0.837612862251137,-4.697090932608223,-0.35090717006524996
1754940287.6065335,55.620386772670415,-30.723896173930925,-792.1413821741955,-2.3697347876561263,-4.665634672846876,-0.029146387889679645
1754940287.611954,53.677990275300196,-0.8414645547052544,-844.4856510640707,-0.09443697867072967,-4.673079691005164,0.33499555391264324
1754940287.6166718,57.163216856072786,23.27731099121433,-920.2687570016936,1.889657588326212,-4.630671030449436,-0.07709040012061333
1754940287.6217375,53.144641421818086,-29.196533080566525,-1026.2575384260745,-2.4136389863696435,-4.637429821138193,0.30408612106283983
1754940287.6265152,64.1529953751489,-20.55511284764975,-1098.0987662094162,-1.7231011712500934,-4.618793499004388,-0.29863821503654353
1754940287.6318648,63.7685984864492,-10.043560927199096,-1153.5018470485288,-0.8961315363301923,-4.591214147451851,-0.391819194960244
1754940287.6365883,52.708735254659494,-14.750111667431895,-1174.591240846557,-1.1735883326835803,-4.616205399473053,0.42364984227917346
1754940287.641839,53.62231270058731,-15.189766423738053,-1250.841970907283,-1.1500290223651244,-4.582835762772817,0.20982725721439893
1754940287.6466882,62.95244913516245,-22.037944802231152,-1341.6207729098173,-1.8944255463599236,-4.563107178422222,-0.32895044997325507
1754940287.6520994,52.64109858241485,-21.52051785289447,-1346.1126850460168,-1.7049035847427563,-4.590149334568923,0.45387437613412096
1754940287.6566706,52.57508286144886,-18.2636479963871,-1429.7035580373417,-1.5568973983031413,-4.5620078585309995,0.3046069746085168
1754940287.6619644,62.16778964746286,-5.990678734134235,-1452.7036257313725,-0.4815493206961259,-4.535336631666484,-0.3314000067186239
1754940287.6667633,51.75452687535144,-52.11773073041044,-1521.9575251109293,-4.226194454061369,-4.559479645857936,0.4016217560048347
1754940287.6717367,73.99200779646613,0.053337969309082744,-1525.567018294299,0.21169653310803738,-4.553710835849513,-0.9304777676047632
1754940287.677255,55.127448302213104,8.10424348993834,-1560.2692965695599,0.7729991876349658,-4.521502442380944,0.09556848780984484
1754940287.6826098,65.90659204631687,-90.02794336207705,-1666.713929836935,-7.005744501637462,-4.512028200515458,-0.54201661638334
1754940287.6868973,52.15758119654419,-33.18432895377654,-1680.2106309149058,-2.762827841820685,-4.535846883739253,0.4138685114869609
1754940287.6922572,64.44067344672757,-18.493543392596166,-1593.2220466026445,-1.1688569514128604,-4.5440562128931985,-0.36134768740819345
1754940287.6972744,-3.627790611997824,-11.176334760433177,-1663.6774540224608,-0.886287449721364,0.5023324868534178,0.25645137116300687
1754940287.7028227,66.25483311675823,1.2347284825181646,-1670.6716361544977,0.01879654307195066,-4.5003867058244325,-0.5895360613310241
1754940287.7073736,51.151710057177375,-60.40352446564512,-1710.9644849235192,-4.903791902496172,-4.531928301370853,0.39532630275642916
1754940287.712543,60.97793006915486,13.61324236166493,-1611.7343288704867,1.2242568086260999,-4.547346664295446,-0.1521404604262454
1754940287.7174046,52.45713409654221,-46.016451551250256,-1641.5187750945827,-3.6137939819493274,-4.524204318366584,0.34453973165418694
1754940287.7225235,64.38800760925271,-50.275938636669466,-1640.0800019996773,-3.691520371956895,-4.507780903731851,-0.4706507927987934
1754940287.727259,53.55571307483248,-52.190439623011116,-1676.2914641616653,-4.290598860224781,-4.5277751057984075,0.2932993386146682
1754940287.7328274,61.412450916825286,-17.93757195237953,-1630.3949557641283,-1.1443896355382401,-4.544416078778227,-0.16434065389069363
1754940287.7379098,62.016072429697424,-19.90098441324981,-1660.0805170601332,-1.6931042260304623,-4.524159270482999,-0.19787941728606306
1754940287.7426648,61.68378987248836,41.49420110698115,-1638.3250619320795,3.3606788585898455,-4.501416148619302,-0.36089295413081224
1754940287.7476509,58.1894432741191,-78.22202562234716,-1763.0960470156629,-6.3193318891266905,-4.515085465764239,-0.014795328042018344
1754940287.7529175,51.629416103206516,-8.695984072665567,-1675.952168761661,-0.7823657418288319,-4.5430083152106455,0.5007597595746776
1754940287.757543,63.38995039836285,-53.153422693429405,-1677.331717870965,-4.132362080673516,-4.530932933497752,-0.2903909045212735
1754940287.7627113,3.0086219298599204,-25.678130112782014,-1640.2579516743924,-1.5699493910407982,0.5100973690895074,-0.24264550644583804
1754940287.76801,64.21900585634653,-30.18526741964544,-1732.0264430110565,-2.60502584034436,-4.502348663843014,-0.3727235244130057
1754940287.7729182,52.18616275759539,-40.177198785711795,-1675.886455287461,-3.23998219907563,-4.543660694449501,0.45196499271334745
1754940287.77761,73.1427968464804,1.066881205235179,-1615.9693845923625,0.25063757704377443,-4.5403377442316835,-0.883366186023153
1754940287.7828727,54.58202057319795,-2.2411200997263165,-1649.0737081508169,-0.05892076838631788,-4.510073520746058,0.11858873437866835
1754940287.7875745,53.03707256735622,-70.4473597223188,-1727.5951479231478,-5.448862928101473,-3.5129738547026763,-0.4443905875677391
1754940287.792757,51.10994108458434,-42.928732410601924,-1705.2908592659803,-3.5654644143962537,-4.530035056894029,0.41078375656406607
1754940287.7976503,62.32043288198801,-13.156744199340665,-1609.4040164707287,-0.7817069229882638,-4.547463213339768,-0.2027931491292651
1754940287.8029773,52.36268108638692,-12.220467006431564,-1633.6970662238855,-1.0672426572715166,-4.520979490944555,0.3387544073358303
1754940287.8076193,64.06572059510674,-0.3816679190900345,-1652.3785352964514,-0.030189987117662465,-4.501516539032554,-0.44563257109892884
1754940287.8127642,51.19670445492202,-64.40101211990495,-1737.702527116688,-5.23753723226892,-4.527197789988593,0.35367976408234875
1754940287.8177986,59.98044202410361,9.548004539499033,-1622.3642686550766,0.9145153305913272,-4.522620182256933,-0.12278750803989905
1754940287.8226345,52.25126269875006,-51.781735250440605,-1661.7693650991062,-4.081497568784021,-4.5263766049159555,0.324684272745962
1754940287.8277056,64.44481492241998,-36.09226418332456,-1568.3819241652484,-2.4327789383638994,-4.508803593363114,-0.44436017848414333
1754940287.8331242,54.130542073795375,-59.874055830158255,-1694.627229659353,-4.903773090484021,-4.520718587262035,0.23304639014427853
1754940287.8378122,53.33865283489772,-25.934755593536067,-1667.848900976868,-2.068245419683241,-4.550433753993701,0.5149658668328517
1754940287.84332,64.36361653843973,-19.468852725421126,-1651.6721733098852,-1.6233682989897473,-4.51411556417521,-0.3543368177862055
1754940287.8479192,60.7252339431217,48.55314872963962,-1623.0234272292482,3.9744903477708657,-4.504173836437226,-0.27808601041410763
1754940287.853152,60.6874751584022,-83.94381497388963,-1730.3891947737588,-6.716540143946819,-4.500966430665176,-0.18819474639322442
1754940287.8581917,51.85661388057222,-13.900804833666797,-1644.1630484276757,-1.2048044900276809,-4.546506065723375,0.4821279912118024
1754940287.863171,63.13158958392013,-53.73524554485098,-1693.3876636436362,-4.164451846880597,-4.532509575521116,-0.2890302452658421
1754940287.8680556,57.10527741170495,-17.845780921389547,-1607.6685757643759,-1.0999668710766186,-4.517786479093099,-0.04929593509306472
1754940287.8733525,65.31159438062888,-19.28711561623615,-1712.2812119782639,-1.7065808777767244,-4.503112276149305,-0.4502798605827423
1754940287.87829,33.91053075602538,-49.74401557472987,-1734.7323794486588,-4.027004803358942,-2.9582015015395453,0.45223554518541
1754940287.8839612,65.01371363014451,12.48100403699393,-1628.3158691953377,1.1326829758700052,-4.545080633521194,-0.3667893187893071
1754940287.8888674,53.096148158309056,-28.085401406977198,-1688.5528282117268,-2.151841666777372,-4.51240956037187,0.2743140273486764
1754940287.8937373,55.65197600291913,-60.27334446788163,-1717.0626029733612,-4.560631937113065,-3.729688662748236,-0.47305638740196176
1754940287.8982434,50.7346380898425,-50.169454418048474,-1727.1522970660128,-4.154983739034419,-4.523613345227797,0.3638745733275473
1754940287.9033625,61.19363130644089,-13.199655386321268,-1633.463460955472,-0.7658716681147788,-4.547673818901039,-0.1769301931226986
1754940287.9083061,51.97723345789766,-17.922087777197685,-1661.1273406864132,-1.5362350135221572,-4.509242852654878,0.3483736613995844
1754940287.9137745,63.789258521690805,29.860215206308595,-1641.9025857357528,2.4625179507951094,-4.500094250727647,-0.46662665194885766
1754940287.918304,56.965590110964555,-69.2406632888158,-1747.2333962008638,-5.609083411074641,-4.505996975071896,0.042734659661811766
1754940287.9235275,52.98869789279566,-11.458558061524883,-1669.8686204332178,-1.001563825679408,-4.546062325094215,0.512902747823582
1754940287.9285133,64.02461273953573,-52.02219776010011,-1665.9502138148841,-4.053459804799905,-4.533567694941812,-0.3258981070244219
1754940287.9336557,58.67663543862372,-33.675699367037026,-1638.5683892527127,-2.158909264426935,-4.356668007231683,-0.29635092278480546
1754940287.9385946,63.536836503173646,-34.93205937791245,-1767.2492728240848,-2.9985524541566173,-4.500073851548566,-0.3255200838432848
1754940287.9434526,51.92889462668497,-39.65068735152096,-1696.5015340456816,-3.1933043949884237,-4.522585723510003,0.4648495552763977
1754940287.9484622,74.46157810868229,-4.922311895640549,-1650.1843615372568,-0.23601342374243045,-4.538869022672028,-0.9018507589769084
1754940287.953663,54.14526103143807,-8.494328756195259,-1571.3327719380002,-0.5778623859404652,-4.5156927729156005,0.16816362289506204
1754940287.958674,65.62605276009545,-80.44328976166148,-1650.8471698146086,-6.2314203241403945,-4.521757156419854,-0.4949857866932912
1754940287.9637244,51.585003464069736,-33.45581446742287,-1629.0468372151859,-2.7916110914594645,-4.535109268370513,0.44187898688389243
1754940287.9685314,74.49983361652087,-31.06949460996823,-1577.7827450741838,-2.1644392416479405,-4.539454699398517,-0.9251463116485437
1754940287.9739654,54.76430032573225,-13.706150514090453,-1595.884465456281,-0.8846232408908647,-4.505484283707499,0.12333813184081524
1754940287.9789562,10.605124528239088,-10.154439482040658,-1674.6331357775005,-0.9551158425557107,0.5049990921273977,-0.5906604938643394
1754940287.9840112,52.197807732740074,-43.62534413626574,-1652.0123376125737,-3.533686264655463,-4.530883975313943,0.4206594532468249
1754940287.9890008,72.95578249872324,0.8297608889298038,-1588.1126850673038,0.2667581228794794,-4.5472273216783154,-0.8717819096507403
1754940287.9940803,53.85447093214475,-12.10911420348937,-1576.811839253403,-0.867837949376348,-4.515853209628606,0.184952811980996
1754940287.9990396,64.8898295779884,-73.8544761079076,-1648.945537033338,-5.7088733116401364,-4.5235663251851905,-0.46477736709519857
1754940288.004347,52.162851364833266,-36.088516247351805,-1638.9367009020814,-2.9997699131475297,-4.53109031398343,0.4115601617797192
1754940288.0091577,72.69955445805822,-31.077124060401346,-1563.9573822085597,-2.101189946917975,-4.5537097224593275,-0.8766944548347415
1754940288.0146127,53.587758431342735,-11.967547877213592,-1565.8999975641389,-0.8876909992010331,-4.523697719012853,0.20889970382114387
1754940288.019357,10.511931005796722,-3.5898266652967266,-1634.2003775121484,-0.3986937295458153,0.500495535519795,-0.5890834647424597
1754940288.0244591,51.7587510585348,-48.92917944561452,-1617.972927443855,-3.9625530643081035,-4.537603170565755,0.436689240549506
1754940288.0293307,73.89147530371379,-1.59386687455814,-1617.6019232313492,0.07091428067966737,-4.5437737116822445,-0.9095141280733461
1754940288.0345595,53.934346740568095,-9.57278459161219,-1598.5629979467044,-0.6588703541259775,-4.512505755441805,0.18767320231989637
1754940288.0395734,64.50864428431326,-74.80534683074379,-1676.6321924916829,-5.797111994110397,-4.519163629884369,-0.46546218820627516
1754940288.0450256,51.22852417305368,-38.41065935361652,-1657.9693763684734,-3.1957153603726214,-4.526290973428704,0.4172283462948394
1754940288.0494497,63.35618650084035,-12.41939020108859,-1568.3245719982992,-0.7345152670422339,-4.560995463504042,-0.24299017135136003
1754940288.0551376,52.72900116183386,-9.943449481856023,-1595.0524366686352,-0.8389663629287811,-4.522134476631683,0.2991817377419318
1754940288.059835,9.445223512227674,-0.8380406590455607,-1652.5542317624643,-0.15764580872969386,0.5058722099221702,-0.5889728163590122
1754940288.0648987,51.54229316403875,-54.29971612515513,-1640.7700357353197,-4.403479075383114,-4.5424846299670625,0.41363201302851194
1754940288.069685,62.06336835079048,16.379557549872736,-1553.986910657983,1.424634557553845,-4.531574308512065,-0.20727758449200828
1754940288.0748556,53.36851558336438,-19.365696132846153,-1618.3668507272375,-1.4504861222553376,-4.512832428276325,0.24549930731530328
1754940288.0798175,63.278332585905005,-64.32373469756698,-1683.4278401150953,-4.972932298403004,-4.5163582262368145,-0.4095513703732525
1754940288.084867,51.02675719172294,-43.853547940815645,-1686.1412164108508,-3.640186918522227,-4.531706882362223,0.3938151746732372
1754940288.0899653,61.473092838299756,-13.864894576058845,-1646.4205311013175,-0.8348618599136488,-4.531200194225467,-0.16781644189429634
1754940288.0951304,52.0902498823212,-15.08360365346635,-1671.9279193359064,-1.302643166799389,-4.5058019475679485,0.33422863156081883
1754940288.0998557,7.762454857184565,23.983319850712007,-1669.0522552398609,1.9473211526404963,0.5013579471761422,-0.47017726635660995
1754940288.1054564,50.17581660275008,-61.295368301864755,-1720.3860654564762,-5.011133447923745,-4.131847712780396,0.19324147235376496
1754940288.1100173,50.82066911889318,6.322610882536935,-1609.8008814357495,0.43896668709347175,-4.553415212811585,0.5316208368329579
1754940288.1149838,64.52162028720983,-52.491382599114345,-1693.3393082677585,-4.121355208872011,-4.5310387562055325,-0.3180470430041005
1754940288.1202285,62.639836087191796,-31.900638058652063,-1590.196445041065,-2.0559812439694802,-4.5196021368129315,-0.35292094223667436
1754940288.1254835,59.719024242612576,-47.535935621185985,-1730.8427790031283,-4.00170876487282,-4.511819380833899,-0.0792523550785493
1754940288.1302068,49.653089561954246,-33.63585682801974,-1689.1718925403636,-2.649150945789459,-4.541371214338001,0.5305457983008771
1754940288.1355796,63.48074001397003,-20.412324505742955,-1683.5302375332049,-1.6623439454342546,-4.522925683617129,-0.33022867254940125
1754940288.1403265,57.15440850377164,26.353575773648174,-1617.784599488598,2.234229686636529,-4.513014178601614,-0.07086695786069228
1754940288.1453261,9.387397491690741,-92.02514011994407,-1729.2214576225967,-7.191354681275902,0.5010655122974453,-0.5071141431028362
1754940288.150338,51.99146966174156,-28.931385521269732,-1674.9277833651158,-2.4218267859383467,-4.538296502539934,0.43876754084935454
1754940288.1555555,72.73723630708463,-33.794359114491016,-1617.2155909849891,-2.3319577225666963,-4.524683905043927,-0.8774857724109898
1754940288.160284,-2.9882534835077514,-11.885580091525103,-1659.7688505466836,-0.8718430210249148,0.5011621906829868,0.20324644881069853
1754940288.165451,66.75488593896885,0.23586734856456815,-1676.2227570141417,-0.08889010284286225,-4.503366833817924,-0.6017206333259124
1754940288.1704698,46.26341628330911,-56.97182077268806,-1704.8562066060786,-4.621960297171622,-4.084956632193094,0.4126582285013294
1754940288.1761038,61.599492759660684,14.979360958436494,-1607.6968335633683,1.326440472062155,-4.548297604529685,-0.1799637407003321
1754940288.1804564,49.28609079964715,-44.27872112854391,-1686.4445926028127,-3.4686492957978814,-4.23529320904818,0.3472716773258173
1754940288.1855853,64.80113658334176,-52.610676845574574,-1676.3007387282246,-3.87719948769848,-4.511141617455473,-0.4849620387198117
1754940288.1906457,53.47486866233444,-54.73634989747458,-1709.6020014749752,-4.499670394462303,-4.523185927668626,0.295892512569076
1754940288.1957254,59.60699275804177,-18.254048387140898,-1652.9951841096354,-1.173142702300443,-4.540515605168147,-0.09260998696565373
1754940288.200367,64.26759417564132,-19.68659047755176,-1678.285484164545,-1.662600843167998,-4.519332573764363,-0.3176570729255649
1754940288.2059674,61.797701699935715,51.78880655419839,-1645.1608281990461,4.21295809788924,-4.502583788467998,-0.3532800133088003
1754940288.2106912,60.262260921917814,-84.5353841075383,-1764.8881726126874,-6.77458185630069,-4.505459239665228,-0.14064936199789285
1754940288.215655,51.39103326858287,-14.80741014429023,-1677.5323968480322,-1.2772726842764235,-4.5418918046103025,0.48932027202133654
1754940288.2205405,63.41565085959644,-52.64330775173286,-1668.0407581014683,-4.075186750269223,-4.519724383774889,-0.31318760348570995
1754940288.2258472,0.8991703343208535,-17.334027400928967,-1643.8165288868124,-1.0288009381012424,0.5080988978204223,-0.0872688897407928
1754940288.230763,65.47004437952494,-22.323773314511953,-1722.0550374359414,-1.9697591770252485,-4.502349206053062,-0.4581414608270554
1754940288.2358851,40.99816521355389,-43.547262607555155,-1733.0916117264774,-3.52949031584558,-3.5591809987747993,0.43313308095775666
1754940288.2408757,64.65605017165026,10.470888938602855,-1637.0939289893456,0.9649625250523444,-4.5435056704025305,-0.3115729368909168
1754940288.246597,44.3445455941463,-36.48325843585904,-1704.8952696881518,-2.83480429197653,-3.7649776861290274,0.2789109108733343
1754940288.2511716,59.426841699077244,-52.14964152862453,-1711.4775936150895,-3.8658490619038215,-4.0369461321090405,-0.4551321675029003
1754940288.25662,50.81539421714485,-52.86773844398408,-1723.4028955387566,-4.374101129887977,-4.522846163074895,0.35446510496287376
1754940288.2611587,60.626515703172636,-13.096546644100755,-1622.8367412818986,-0.7674481669665636,-4.54440570289275,-0.14137024107269153
1754940288.2664583,52.067976258395284,-19.22656136613477,-1660.1271009310362,-1.6418767839313704,-4.520161634472364,0.3450557223802184
1754940288.2712,63.800443176877586,35.74840106865716,-1634.6515853695362,2.949602256971543,-4.502712601100922,-0.4605085288436246
1754940288.2764015,57.923359284476085,-72.58193412383736,-1750.0645462301,-5.856578730882983,-4.508615094954857,-0.008422385024664556
1754940288.2815526,52.896845520302946,-13.885232903701194,-1670.437692580233,-1.198637651179383,-4.544501390147765,0.5065460329959612
1754940288.2864766,64.23938461013194,-51.503187568639405,-1666.6892752055178,-4.000312753512924,-4.516982924289011,-0.35719680226862016
1754940288.2914085,2.3922754534261905,-28.611821268730083,-1643.3210614170307,-1.805016190439098,0.5094704293182705,-0.21113245889629934
1754940288.2969103,63.716883057187715,-32.46623066613844,-1713.813759426695,-2.7996217614759047,-4.507557281124541,-0.3389424843475455
1754940288.301538,49.985558753818914,-42.76440838356913,-1691.071035231141,-3.4165945727826257,-4.5391192491816295,0.4971652623455002
1754940288.306787,74.27881189506664,-4.451481227212604,-1652.5400321167504,-0.19749206303158062,-4.524830187717123,-0.9100020639970123
1754940288.3114336,54.14344331997239,-8.538781258045844,-1576.2934811465723,-0.5821227629804435,-4.518319915609764,0.17165352821754437
1754940288.3167806,64.86131198307365,-78.32951140164394,-1655.3437721783307,-6.074498069312918,-4.501723919685054,-0.47198276827943875
1754940288.3213868,51.329491427900344,-36.49487678300332,-1684.7049781387573,-3.0401713397195973,-4.522852791798839,0.43503269960967633
1754940288.3265944,65.64237951785208,-16.18810447269746,-1602.2628613181887,-1.0117405770649182,-4.533803319764586,-0.4006633278737537
1754940288.3314197,52.7233164115016,-7.262436923136686,-1608.9161631209695,-0.6581230882046614,-4.531683622685261,0.35437692090699846
1754940288.3366845,10.381131553233281,-4.632481268000504,-1658.4616394193627,-0.45943400625895625,0.5072553678911311,-0.6273449109655675
1754940288.341449,52.66978478800092,-47.913994047075676,-1645.3188568527755,-3.901863069477219,-4.554722096986048,0.39011152088579015
1754940288.3466294,61.818545128080196,14.876215572187284,-1603.3300579313795,1.3093491697107642,-4.534977083937806,-0.18582179494311007
1754940288.3516562,52.704360801061746,-40.42145879281348,-1624.5039840519273,-3.1646839589508655,-4.529630117768532,0.316072338097224
1754940288.3568566,63.590779315632176,-55.63138752575364,-1659.9701361227608,-4.21615989559627,-4.504349595048992,-0.4138836602448639
1754940288.361491,50.55109702430449,-49.449782163566596,-1727.3966356344908,-4.096435810755889,-4.510904161830689,0.374151707883293
1754940288.3666818,61.440325148601396,-12.446981265883494,-1574.822546080157,-0.7215983133196249,-4.551099959928292,-0.16827860786966653
1754940288.3717768,52.07037794589301,-15.525347227544428,-1665.4363008686335,-1.337150820330022,-4.504060988486544,0.3406776136062403
1754940288.3768728,64.2215148318432,19.118569373624126,-1599.7149715830324,1.5894339608630825,-4.500066497198175,-0.44727662365780163
