time,shoulder_pan_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,shoulder_lift_joint,end_mill_joint
1754933386.5338686,-1.1935548036023924e-14,-9.271660587721609e-14,5.4112530428751526e-14,-9.773432063653331e-14,9.768618206007496e-14,4.9547171920849564e-14,7.16614267926019e-14
1754933386.541354,-1.1935548036023924e-14,-9.27164161418359e-14,5.4117734599179457e-14,-9.773345327479532e-14,9.768618206007496e-14,4.9547171920849564e-14,7.16614267926019e-14
1754933386.5510387,-4.336808689942018e-19,3.609389612820209e-11,-7.49336868596795e-11,-1.1639605945745757e-11,-3.0357660829594124e-18,3.153990957294184e-11,7.167703930388569e-14
1754933386.561208,-0.0001355031748670472,2.4825890224098397e-05,-9.755650171285046e-06,-1.0482750084639392e-11,-0.00013550317486731977,-1.507024662992032e-05,7.168571292126558e-14
1754933386.5712726,-0.0009624700729587998,0.00017680487726371908,-6.952212416339509e-05,-9.42137340365079e-12,-0.000962470072951597,-0.00010728275902139456,7.16839781977896e-14
1754933386.5812254,-0.0028467563571446565,0.0005243919548106283,-0.0002063357417715966,-8.433246288797047e-12,-0.002846756357113469,-0.0003180562183652154,7.149489333890813e-14
1754933386.5915384,-0.005877622598418902,0.0010857453493338474,-0.0004275043014101438,-7.478394639659491e-12,-0.005877622598343337,-0.000658241052713008,7.075937058509396e-14
1754933386.6014507,-0.009955397713588015,0.001844118407273853,-0.000726591641416429,-6.561251542080981e-12,-0.009955397713434807,-0.0011175267701801182,6.893444148836636e-14
1754933386.6115427,-0.014870376059185378,0.0027617122610390523,-0.001088803677728204,-5.679593947927053e-12,-0.014870376058929134,-0.0016729085872095525,6.557601683887526e-14
1754933386.6214747,-0.020373824815987717,0.0037921432283942592,-0.001495835837834436,-4.846760146004492e-12,-0.02037382481561866,-0.0022963073940750825,6.028857968409795e-14
1754933386.6315627,-0.026241890635088472,0.0048916634719134945,-0.0019302357513440544,-4.069365504288935e-12,-0.026241890634606156,-0.0029614277237284964,5.2747736734026773e-14
1754933386.641861,-0.03233311561936004,0.006029259592463447,-0.0023793296714482966,-3.356309154212145e-12,-0.03233311561875802,-0.0036499299238641064,4.2939610200853906e-14
1754933386.6516042,-0.038640201706768816,0.007195741363359992,-0.002838756254263424,-2.700949706946343e-12,-0.03864020170607964,-0.004356985111692718,3.067511522569788e-14
1754933386.6618607,-0.04527609265896354,0.008402286582294954,-0.0033119989970411237,-2.0810549464234107e-12,-0.04527609265818129,-0.005090287587610057,1.5399140296246117e-14
1754933386.671875,-0.05224842652974532,0.009644404971607515,-0.0037967300010897953,-1.5010848467000848e-12,-0.05224842652887944,-0.005847674972648004,-3.2595454113604205e-15
1754933386.6820788,-0.05952356995086784,0.010911069757852207,-0.0042881517204623465,-9.432715025736726e-13,-0.05952356994991934,-0.006622918039320511,-2.5675642167932722e-14
1754933386.6921716,-0.06707124939143483,0.012191680028072641,-0.004781616990614437,-4.25362869926893e-13,-0.06707124939041244,-0.007410063039221069,-5.1909865295129975e-14
1754933386.7025876,-0.07486421550732125,0.013476038881687134,-0.005272623879634386,7.036992516473717e-14,-0.07486421550622223,-0.008203415003659727,-8.230048587076766e-14
1754933386.7125158,-0.08287794105562599,0.014754333767028907,-0.005756811054284244,5.48398999822286e-13,-0.08287794105446554,-0.008997522714219799,-1.1712679437447804e-13
1754933386.7225068,-0.0910903490177022,0.01601711878442662,-0.006229953609504934,9.975891640534584e-13,-0.0910903490164848,-0.009787165176269118,-1.562326656934232e-13
1754933386.732429,-0.09948156790987274,0.017255298758813854,-0.006687959314926323,1.4290599953392658e-12,-0.0994815679086039,-0.010567339445119114,-2.003241322823257e-13
1754933386.7426796,-0.10803371156307372,0.01846011490519336,-0.007126865236761662,1.8383584585168755e-12,-0.10803371156177263,-0.011333249669567003,-2.491271078319812e-13
1754933386.7525733,-0.11673068092453479,0.01962313192749678,-0.007542834697459776,2.221045396211263e-12,-0.11673068092318466,-0.01208029723108452,-3.0288098418207454e-13
1754933386.763111,-0.125489070578693,0.020729507986455516,-0.007930077868653962,2.581558231073977e-12,-0.1254890705773234,-0.012799430118784188,-3.6126657221302594e-13
1754933386.7735639,-0.1340763778666444,0.021749805061264185,-0.008278284679171743,2.9132555742772404e-12,-0.13407637786525964,-0.013471520383001787,-4.226150679409457e-13
1754933386.7828689,-0.14249146005872498,0.02267678081092489,-0.008583947909533863,3.22277447784014e-12,-0.14249146005733568,-0.01409283290224525,-4.866749364618173e-13
1754933386.7932897,-0.15093834795577116,0.023522967875776346,-0.008849636467700052,3.5012210145013434e-12,-0.15093834795438266,-0.014673331408879237,-5.549467135823605e-13
1754933386.803251,-0.15969886391917557,0.024308436751261858,-0.00908024247812033,3.777422818984633e-12,-0.1596988639178125,-0.015228194273904882,-6.29928401107982e-13
1754933386.8134289,-0.1690179780979194,0.02504978237437699,-0.009279603661841386,4.0602339199113935e-12,-0.169017978096569,-0.015770178713270203,-7.144215774523843e-13
1754933386.8235223,-0.1790006290329135,0.02575021205143328,-0.009447463478632971,4.360698434291432e-12,-0.17900062903158387,-0.016302748573516986,-8.103569898443297e-13
1754933386.8334086,-0.1895188622009109,0.02639062459303613,-0.009576735254858354,4.665520574043125e-12,-0.18951886219960226,-0.01681388933888627,-9.173738158008149e-13
1754933386.8435674,-0.20012825470400908,0.026921581535665033,-0.009651039898628958,4.981390300251576e-12,-0.20012825470272266,-0.017270541637741225,-1.0316695414624988e-12
1754933386.8534563,-0.20999269749022292,0.02725608124093814,-0.009642489843356278,5.288435488137733e-12,-0.2099926974889679,-0.017613591398272156,-1.1436043084733782e-12
1754933386.8635757,-0.21812268986242234,0.027298912660828453,-0.009521863264847424,5.511347454800752e-12,-0.2181226898611967,-0.01777704939665503,-1.2400636073550686e-12
1754933386.8737042,-0.22443978508912132,0.027067608841031543,-0.009299087458497893,5.6501756398597e-12,-0.22443978508796447,-0.01776852138319721,-1.3176335023068475e-12
1754933386.8836355,-0.22912523539263818,0.026607900365544855,-0.008993322094869105,5.713781878191604e-12,-0.2291252353915804,-0.017614578271312572,-1.3769558410148264e-12
1754933386.8938093,-0.23234218455290692,0.02596024174574919,-0.008621463492119069,5.695508301095664e-12,-0.23234218455195718,-0.01733877825423504,-1.4184868557531871e-12
1754933386.904088,-0.23423747491752783,0.02516035056377874,-0.008198377405046085,5.617561971149598e-12,-0.2342374749166994,-0.01696197315932269,-1.4435952433444754e-12
1754933386.9148352,-0.23494327371081364,0.024239692701615658,-0.007737108535229206,5.506574363156602e-12,-0.23494327371012852,-0.016502584166959895,-1.4534103087715522e-12
1754933386.9242167,-0.23457853671193188,0.02322591904719701,-0.007249069090174124,5.3447706330200795e-12,-0.23457853671139486,-0.015976849957580242,-1.4493371780499587e-12
1754933386.934423,-0.23325032556524022,0.022143258529954395,-0.006744208486511544,5.158764908308466e-12,-0.23325032556484956,-0.015399050043960402,-1.4329162856263622e-12
1754933386.9446275,-0.23105499337163826,0.02101287179113151,-0.006231166440134156,7.548844882521166e-10,-0.23105501902513606,-0.01478170577287441,74.96505909349136
1754933386.9547331,-0.22807925167161322,0.019853169982099655,-0.005717407938654717,3.0494193836716477e-09,-0.22807927433894662,-0.01413576120583237,148.79335250742537
1754933386.96487,-0.22440113092705738,0.018680158064902565,-0.005209381579538597,-6.280000001761797,-0.22440115083408485,-0.013470775687090653,218.89900891475634
1754933386.9748852,-0.220092750980748,-0.2526556926224673,-6.28000000285372,6.2800000017253925,-0.22009087135960126,-0.012795137678143654,272.3185225643525
1754933386.9848194,-0.29951526307941523,1.2779771559936404,6.28000000368238,-6.280000001528727,-0.21521163821666933,-0.012116064526931536,312.3397980621876
1754933386.9944987,-0.08696726984505077,-1.3353248012577097,-6.280000004600467,6.280000011845681,-0.2098203420104161,-0.014043735153518661,345.3270235431796
1754933387.0049024,-0.02893550966727311,1.8877475409755646,6.280000002853534,-6.2800000194953896,-0.20396818398025496,-0.013430676128436111,376.68047487905426
1754933387.0146043,-0.7129647254361394,-0.5682306198654891,-2.305986094846295,6.280000023372988,-0.19770125271596278,-0.03765273406882933,399.5044712346947
1754933387.0245798,0.6753873404288954,-0.6759390691111148,-6.280000006518324,-6.280000010944075,-0.19106101983072943,0.022374474981030186,423.7770714512573
1754933387.034824,-0.29658297763409475,2.42487594626147,6.280000006258668,-6.280000022549498,-0.1840848246627842,-0.013440968690135918,434.814200043707
1754933387.0448267,-0.9655339257894763,-0.08670145093038895,0.33958614749962207,6.280000027809649,-0.17680626175683256,-0.10283517577951226,449.72848710258177
1754933387.0552626,0.4434377664764895,-1.8662051394539647,-6.280000009663722,6.280000003965522,-0.16925556141730702,0.3708058539924992,458.06521797355305
1754933387.0652316,0.5844174749787955,1.87635865066876,0.9316949118697684,-6.280000033357275,-0.16145801698782236,0.029709999058503286,477.682936882795
1754933387.0752642,-0.7402364576331089,3.1400000000836576,6.2800000091086865,-6.280000009854906,-0.15345723061436345,-0.3435845907081144,471.27086730836226
1754933387.085292,-0.9387160776647226,-0.2180027646524132,0.2777303451581066,6.280000031285116,0.1160287853923011,-0.036234962559687,470.128377331923
1754933387.095445,0.4036245311970553,-2.1660260275177197,-6.280000009415128,6.28000001421,0.36451368584235233,0.41379060397176237,468.0987433996351
1754933387.105542,0.6727197122144533,0.9250552351057802,-1.230956170710119,-6.280000031407301,-18.693485896659936,0.09077885832286742,499.9999999670748
1754933387.115605,-0.6378697466824812,3.1400000001758968,6.280000008466074,-6.280000018422221,0.722416745664956,-0.3444572497094241,479.19874582621964
1754933387.1253784,-1.0929181051741275,-0.39842090536446795,4.56865142999578,6.2800000272148,0.7151498128832726,-0.03685546877681195,473.4557437743714
1754933387.1354907,0.010831348677626473,-3.1400000002317845,-6.280000007735009,6.2800000273466345,0.8613350046839021,0.3590245962099151,478.01888642312355
1754933387.1453671,0.8096900603772827,-0.35929565571579797,-6.280000002594298,-6.280000023829128,-6.280000008008983,-0.008663088794915674,478.5383798553339
1754933387.155597,-0.12631730719270445,2.5425340769657194,6.280000006635595,-6.280000030127194,1.1873127183227625,-0.14951844542389975,480.87840695680177
1754933387.1655087,-0.9771541157176585,0.31419368104073137,6.280000004011784,6.280000020521907,1.0652955387244565,-0.05834188790078129,472.90356863240885
1754933387.1754537,-0.07825544712777399,-3.140000000442774,-6.280000005525131,6.280000030692541,1.2053535255379861,0.3100554185565966,477.6311984223405
1754933387.1855917,0.916051830621947,-1.2630818382007472,-6.280000007635993,-6.280000016848586,-20.461866561820106,0.190112157944039,497.3579751328293
1754933387.1956286,0.035676641610919296,2.3094374730667515,6.280000004323413,-6.28000003334823,-16.376435167727323,-0.10004051191669974,499.99999997133915
1754933387.2054853,-1.098393736384147,0.8453797151327228,6.280000009254049,6.280000012489866,2.042391384007378,-0.19245978092536908,480.3188156157989
1754933387.2156272,-0.464999841253422,-3.135522726938884,-6.280000002279534,6.280000034066056,2.223993953894449,0.2122079494204687,485.3166663422665
1754933387.2253695,0.7652092386641953,-1.3179104474672032,-6.280000011244992,-6.2800000039797546,-6.280000033485341,0.2087738717208807,495.2322615126908
1754933387.235427,0.41894834519842916,2.403211090967205,4.844698557358324,-6.280000035229186,-6.280000030710262,-0.04468819102571765,494.28841396078707
1754933387.2454116,-0.8651634284209859,1.8779825124175846,6.28000001023169,0.20376516331188343,2.866652230085116,-0.24030661212766605,473.1507252245523
1754933387.2559083,-0.6391661381672973,-1.2917906536959478,-2.681363368697427,6.280000034242363,2.8843905397028102,-0.04453152452385645,478.075258135089
1754933387.2659502,0.7633585814541536,-2.3507435114194566,-6.280000010674085,6.280000001218049,3.192476895706749,0.4527306414121527,469.4557017721409
1754933387.2763205,0.8017398202732839,1.7564301624968404,0.8738012751841868,-6.28000003436685,3.455523316242866,0.010481560122455052,480.9790903613408
1754933387.2865086,-0.49090359592914845,3.1093574287156596,6.280000009012436,-6.2800000140880226,3.436021143934304,-0.3742636817984451,474.3775001468392
1754933387.2964778,-0.7899320916770985,-0.34839954616584523,1.7315398827803445,6.280000030335167,3.395845044060086,-0.04422111709334725,471.5078676828983
1754933387.3064423,0.4447826481491292,-2.6562895958071664,-6.28000000896631,6.280000020282323,3.6575758680431933,0.475472814998547,480.56217331029467
1754933387.316606,1.0113649713386226,0.02022454196743928,-6.280000001933842,-6.280000026022034,3.9267483419027513,0.10952527586818392,472.59958596532465
1754933387.326662,-0.0282952264622493,3.1400000001272037,6.280000006952554,-6.280000029366427,-6.280000035740357,-0.2544467845537969,487.2064834960274
1754933387.336989,-0.8997997367322292,0.5325208381310425,6.280000002565585,6.280000021748133,-6.280000025183009,-0.03185832886702217,480.072520078193
1754933387.3468878,-0.03024113375377019,-2.4182864755916533,-6.280000005904467,6.280000030495518,4.928165533362022,0.30346869217530137,474.6806123510042
1754933387.3572612,0.930504431515469,-0.5584814410515948,-6.280000007525264,-6.2800000171481365,-17.061452287729615,0.17942338871241473,497.04548311015026
1754933387.367285,0.10004273955848592,3.140000000224018,6.280000004155831,-6.280000034355531,5.439334101943939,-0.14570958645747878,484.78061252712797
1754933387.3777146,-0.9959446610663453,1.1848010316036905,6.280000009906795,6.280000009594725,5.353663587581534,-0.14730194476690772,474.5375834447063
1754933387.3877273,-0.4201613694288999,-3.0846341188509476,-6.280000002027414,6.280000034050758,5.32585057452582,0.3942889850878406,481.0402443894594
1754933387.397611,0.7370688835809562,-2.390680307493703,-6.280000011182835,-1.1956415947151982,-6.280000033651752,0.3800639303674859,486.4330586735258
1754933387.4076118,0.42169349398882416,1.2605671521797375,4.046126481466449,-6.280000035105452,-13.828027680401933,0.00031878150565675493,499.9999999684347
1754933387.4177616,-0.8480540916570734,1.5392486328350756,6.280000010444706,0.2746870134860111,-17.099053533679196,-0.2374221327632278,499.6019789025428
1754933387.4279113,-0.773305998083919,-1.8933703141217018,-1.4435895647897046,6.280000034619377,5.891339432637428,0.016073274983289143,478.9555672541591
1754933387.4382057,0.6316429785739918,-3.1400000001773773,-6.280000010310173,6.280000004320576,5.931928227530733,0.4804090823454164,467.080319260373
1754933387.4481828,0.828919613546578,0.312474724080295,0.41016775377787684,-6.280000032786404,6.236610032775433,0.1840632758114469,472.93687422384767
1754933387.4582005,-0.4709818514967258,2.2536972256802166,6.280000008687667,-6.280000016250224,-6.280000032979309,-0.1789733508364725,481.0881913787589
1754933387.4684308,-0.8191987680392678,-0.5641841204698529,2.36584896238515,6.28000003007568,6.226840399934994,-0.04457710476769749,471.18148872621254
1754933387.4783835,0.4617120039677558,-3.1400000005032562,-6.28000000859681,6.280000020281033,6.154639695448042,0.55502596119308,472.42450795099137
1754933387.4885132,1.0754839328827641,-0.045717319203835594,-6.280000001332942,-6.280000025976985,-14.616124843138799,0.1794166237158247,492.26278351239915
1754933387.4983552,0.038039801105145155,3.1043726072613342,6.280000006797828,-6.280000030078373,6.27999996425741,-0.19377934104363256,477.1175586993745
1754933387.5085635,-0.849520849489297,0.41812636346932275,6.280000003040756,6.280000020936338,-6.2800000247002465,0.04774181884061127,481.29168090606254
1754933387.5187562,0.020077459749455295,-2.5142194134331826,-6.28000000554836,6.280000031285361,6.279999975261111,0.38499567874022844,475.37760162897587
1754933387.528725,1.0235195674962692,-0.8604191579772591,-6.280000009217629,-6.280000014702846,-16.395514371676406,0.30342005334237493,499.38171909251395
1754933387.5389805,0.2623282073122407,3.140000000093465,6.280000003399658,-6.280000034481532,6.279999964648236,-0.12200191003983486,482.5610046742897
1754933387.5491502,-0.8503416662538611,1.3440570902167714,6.2800000100133335,6.280000006924751,6.279999975995852,-0.09889369598146877,473.87799675374015
1754933387.559577,-0.403550496140686,-2.4802536579708727,-6.280000001306037,6.2800000343906035,6.279999975156638,0.2749205548929996,479.23600993881644
1754933387.569387,0.8077694983734952,-1.9407344540541254,-6.280000011106981,0.35333430793631004,-6.280000033678735,0.44492377684893625,483.0854489324878
1754933387.5794008,0.45008433122336833,2.0965272742210823,3.554474800281172,-6.280000036149467,-8.957025854134953,0.041135326893310314,499.99999997410686
1754933387.5894308,-0.7743719916276901,2.164632876883335,6.280000010164125,0.3499345146978552,-16.41635983942365,-0.22761882957363455,495.20640171759993
1754933387.599567,-0.7820290057526111,-1.6817138702101593,-1.1669586478148029,6.280000034001084,6.279999974311479,0.1636804996358316,476.12028880260596
1754933387.609613,0.48866077773181615,-3.140000000578797,-6.280000010063562,6.280000012757682,6.279999962389514,0.5007530319044943,471.2297498776713
1754933387.6196818,0.7728495407829278,-0.23222412459079145,-1.557639324087251,-6.280000031232348,6.279999984745491,0.16027468877137613,469.37302431357205
1754933387.629762,-0.4349481216585668,2.1090422869195,6.280000008465556,-6.28000001968724,-6.2800000321030565,-0.23813844106869916,489.6080117142988
1754933387.6399171,-0.9572946221409065,-0.726396847268388,5.803578588380813,6.280000026603666,6.2800000007877,0.015269102910039578,468.5884586596442
1754933387.6499882,0.10711696478011562,-3.14000000078639,-6.2800000075096865,6.280000028408097,6.279999975209726,0.2836815257588803,472.60807950377705
1754933387.660206,0.939587184542357,-0.7471562454671813,-6.280000003733732,-6.280000022574313,-15.829349451709163,0.10343023862023913,495.9062714842308
1754933387.67023,0.06776539591213654,2.246473176372026,6.280000005551747,-6.280000031885503,6.2799999648601075,-0.06287361897185459,476.78976888141705
1754933387.6803577,-0.9208808111414862,0.49677989085711205,6.280000007086212,6.280000017121088,6.279999975646987,-0.0763181742759126,476.46259372722375
1754933387.6906192,-0.078643865735356,-3.140000000208969,-6.280000003579772,6.280000033531451,6.279999975485225,0.3001820361278251,480.79961300016936
1754933387.70045,1.0363081105904857,-1.5700141603787738,-6.280000010656247,-6.2800000096298465,-6.280000031982368,0.3671644672583738,485.82420606034924
1754933387.7103977,0.4665056243271324,3.052519755819941,6.280000002142173,-6.280000034956139,-10.452058795911649,-0.0830234759714215,499.99999997332037
1754933387.7207108,-0.7461184711275278,1.6764694950069066,6.280000010231555,6.280000002630987,-17.53551773581489,-0.16281837473081995,499.50725235215054
1754933387.7305932,-0.41209663363633164,-1.6169513798759187,-6.280000000040265,6.2800000345074025,6.279999975084696,0.002157688457871121,478.4383914003342
1754933387.740472,0.8738031270032001,-1.8447033545322364,-6.280000011032552,0.14661043833233556,6.279999962953923,0.41905390348668736,470.7365372341292
1754933387.750475,0.6313433935398416,2.1208761693205567,2.1818685698134397,-6.280000035427989,6.279999960480897,-0.025919603462324414,480.66487400841845
1754933387.7608364,-0.6876790772811526,2.5037742157831415,6.280000009741341,-6.28000000208368,-15.15999235726963,-0.2763514148447822,485.0557236526201
